"cc","sp"
8.76506328066269,"Eristalis stipator "
8.01803738518181,"Ancistrocerus bustamente "
7.79591788893628,"Hemiargus isola "
8.10955628650546,"Agapostemen angelicus "
7.69205810315909,"Copestylum lentum "
6.84019086663543,"Lasioglossum sisymbrii "
7.05226742315181,"Bombus bifarius "
6.52919374167228,"Apis mellifera "
6.15456898845014,"Ancistrocerus catskill "
6.08653109679367,"Copestylum anna "
6.31457044638914,"Allograpta obliqua "
6.21804789522415,"Sphecodes sp. b"
5.98290221221649,"Bombus flavifrons "
5.82405964386366,"Copestylum avidum "
5.26046073684851,"Stenodynerus toas "
5.11165415205329,"Copestylum violaceum "
5.07039175620714,"Hylaeus annulatus "
5.20988894295659,"Pseudopanurgus atricornis "
5.06930102803856,"Chrysotoxum sp. a"
5.39306491584565,"Colias eurytheme "
5.22235902123842,"Dasysyrphus sp. a"
5.24706358365629,"Dufourea fimbriata "
5.0251978667671,"Garisma garita "
5.06206293274212,"Bombus huntii "
4.60301337859887,"Andrena apacheorum "
4.27662709172322,"Polygonia gracilis "
4.37841004738756,"Syrphus ribesii "
4.61150348469497,"Platycheirus stegnus "
4.30757548170614,"Chamaesyrphus willistoni "
4.55813056393754,"Cheilosia sp. a"
4.64966789160254,"Gentianopsis detonsa"
4.53251672038766,"Penstemon strictus"
4.17362578732259,"Arctophila flagrans "
4.17368522837357,"Lejops polygrammus "
4.56432014036147,"Leptotes marina "
4.37458321363997,"Copestylum haagi "
4.22743132512497,"Bombus rufocinctus "
4.12156380569571,"Vanessa cardui "
4.28776700923516,"Erigeron subtrinervis"
3.83861783519378,"Ancistrocerus antilope "
3.81500276166805,"Hesperia pahaska "
3.55270726683184,"Ancistrocerus tuberculocephalus "
3.5331654383171,"Vanessa virginiensis "
3.29915639195328,"Ancistrocerus adiabatus "
3.68433784223493,"Bombus centralis "
3.67168990853201,"Bombus ferrides "
3.5138711054204,"Panurginus cressoniellus "
3.74454926624738,"Senecio eremophilus"
3.5825264084507,"Eupeodes volucris "
3.27647058823529,"Bombus morrisoni "
3.4143945769051,"Euptoierta claudia "
3.5701581027668,"Strymon melinus "
3.57284256239544,"Campanula rotundifolia"
3.51591397849462,"Cirsium neomexicanum"
3.24577291381669,"Monardella odoratissima"
3.65591397849462,"Oenothera elata"
3.56398838532105,"Anthophora montana "
3.39426966733435,"Megachile relativa "
3.38967236701923,"Vanessa carye annabella"
3.09181331727656,"Xylota sp. b"
3.38967236701923,"Eurema nicippe "
3.48074534161491,"Syrphus opinator "
3.29798849450162,"Megachile fidelis "
3.09181331727656,"Copestylum comstocki "
3.28717946813436,"Speyeria atlantis "
2.88235294117647,"Copestylum marginatum "
2.74468085106383,"Bombus sonorus "
2.81818181818182,"Allograpta exotica "
2.77272727272727,"Syrphus sonorensis "
2.74358974358974,"Glandularia bipinnatifida"
2.65217391304348,"Eristalis tenax "
2.93103448275862,"Anthophora terminalis "
2.69230769230769,"Bombus nevadensis "
2.83098591549296,"Hesperia comma "
2.69230769230769,"Mertensia ciliata"
2.92857142857143,"Phacelia heterophylla"
2.88059701492537,"Halictus tripartitus "
2.97101449275362,"Heracleum sphondylium"
2.96,"Linum lewisii"
2.6969696969697,"Bombus occidentalis "
2.81132075471698,"Penstemon barbatus"
2.69565217391304,"Nathalis iole "
2.71739130434783,"Agoseris glauca"
2.64516129032258,"Castilleja miniata"
2.77777777777778,"Gaura coccinea"
2.52,"Penstemon pseudoparvus"
2.64516129032258,"Townsendia grandiflora"
2.64516129032258,"Trifolium pratense"
2.7037037037037,"Megachile melanophaea "
2.7037037037037,"Pipizini sp. a"
2.83673469387755,"Eremogone fendleri"
2.46067415730337,"Pontia protodice "
2.30434782608696,"Lapposyrphus lapponicus "
2.46067415730337,"Coenonympha tullia "
2.72727272727273,"Halictus ligatus "
2.30434782608696,"Plebejus acmon "
2.30434782608696,"Halictus farinosus "
2.46067415730337,"Eristalis arbustorum "
2.94285714285714,"Dieunomia nevadensis arizonensis"
2.91176470588235,"Colletes skinneri "
2.59139784946237,"Battus philenor "
2.68253968253968,"Halictus rubicundus "
2.41860465116279,"Vicia pulchella"
2.80246913580247,"Pyrgus commonis "
2.56435643564356,"Celastrina argiolus ladon"
2.56435643564356,"Copestylum mexicana "
2.56435643564356,"Diadasia diminuta "
2.56435643564356,"Potentilla hippiana"
1,"Megachile policaris "
1,"Ancistrocerus lineativentris "
1,"Geranium viscosissimum"
1,"Limenitis bredowii "
1,"Eumenes bollii "
1,"Vanessa atlanta "
1,"Spilomyia kahli "
1,"Syritta pipiens "
1,"Euodynerus hidalgo "
1,"Copestylum apiciferum "
1,"Mallota sackeni "
1,"Palpada mexicana "
1,"Psacalium decompositum"
1,"Ancistrocerus spilogaster "
1,"Cymopterus lemmonii"
1,"Mirabilis oblongifolia"
1,"Tetraloniella sp. a"
1,"Tetraloniella lippiae "
1,"Dodecatheon pulchellum"
1,"Hypericum scouleri"
1,"Erigeron flagellaris"
1,"Tetraneuris acaulis"
1,"Potentilla fruticosa"
1,"Viguiera multiflora"
1,"Platycheirus confusus "
1,"Achillea millefolium"
1,"Holodiscus dumosus"
1,"Allium cernuum"
1,"Allium geyer"
1,"Commelina dianthifolia"
1,"Gentiana affinis"
1,"Geranium caespitosum"
1,"Heterotheca pumila"
1,"Dufourea maura "
1,"Poanes zabulon taxiles"
1,"Agoseris aurantica"
1,"Erodium cicutarium"
1,"Oxytropis lambertii"
1,"Atrytonopsis sp. a"
1,"Cercyonis oetus "
1,"Polites draco "
1,"Coelioxys sodalis "
1,"Plebejus glandon "
1,"Megachile frigida "
1,"Speyeria mormonia "
1,"Xylota sp. c"
1,"Ministrymon leda "
1,"Triepeolus sp. a"
1,"Sphecodes sp. a"
1,"Neophasia menapia "
1,"Solidago multiradiata"
1,"Melangyna lasiophthalma "
1,"Meligramma guttata "
1,"Oxypolis fendleri"
1,"Pennellia longifolia"
1,"Anthophora urbana "
1,"Papilio multicaudata "
1,"Eristalis hirta "
1,"Pseudepipona herrichii aldrichi"
1,"Dolichovespula arenaria "
1,"Copestylum victoria "
1,"Erysimum capitatum"
1,"Hymenopappus newberryi"
1,"Ipomoea plummerae"
1,"Xylacopa californica arizonensis"
1,"Papilio polyxenes "
1,"Epargyreus clarus "
1,"Thorybes pylades "
1,"Svastra machaerantherae "
1,"Texola elada "
1,"Ochlodes snowi "
1,"Erynnis sp. a"
1,"Erynnis sp. b"
1,"Euodynerus annulatus "
1,"Libytheana carinenta "
1,"Sphaerophoria sp. a"
1,"Phyciodes tharos "
1,"Megachile inimica sayi"
1,"Cirsium parryi"
1,"Hymenoxys hoopesii"
1,"Polygonum bistortoides"
1,"Hemiargus ceraunus "
1,"Anthophora marginata "
1,"Cosmos parviflorus"
1,"Echeandia flavescens"
1,"Lamiaceae sp."
1,"Linum neomexicanum"
1,"Mimulus guttans"
1,"Prunella vulgaris"
1,"Trifolium pinetorum"
1,"Verbascum thapsus"
1,"Vicia americana"
1,"Platycheirus spinipes "
1,"Toxomerus marginatus "
1,"Cerastium nutans"
1,"Colletes gilensis "
1,"Blera confusa "
1,"Didea fuscipes "
1,"Anthidium maculosum "
1,"Xylota sp. a"
1,"Erigeron formosissimus"
1,"Hymenoxys richardsonii"
0,"Corydalis aurea"
0,"Rudbeckia hirta"
