"Site","Year","GenusSpecies","Abundance"
"CH",2012,"Bombus sonorus",66
"CH",2017,"Bombus rufocinctus",1
"CH",2018,"Bombus sonorus",1
"CH",2022,"Bombus sonorus",8
"HM",2017,"Bombus centralis",13
"HM",2017,"Bombus fervidus",3
"HM",2017,"Bombus huntii",27
"HM",2017,"Bombus morrisoni",4
"HM",2018,"Bombus centralis",15
"HM",2018,"Bombus flavifrons",2
"HM",2018,"Bombus huntii",8
"HM",2018,"Bombus rufocinctus",1
"HM",2021,"Bombus centralis",53
"HM",2021,"Bombus fervidus",13
"HM",2021,"Bombus flavifrons",7
"HM",2021,"Bombus huntii",34
"HM",2022,"Bombus centralis",54
"HM",2022,"Bombus fervidus",2
"HM",2022,"Bombus flavidus",1
"HM",2022,"Bombus huntii",211
"JC",2012,"Bombus bifarius",58
"JC",2012,"Bombus flavifrons",20
"JC",2012,"Bombus huntii",1
"JC",2012,"Bombus occidentalis",2
"JC",2012,"Bombus rufocinctus",37
"JC",2017,"Bombus appositus",3
"JC",2017,"Bombus bifarius",33
"JC",2017,"Bombus centralis",10
"JC",2017,"Bombus flavifrons",11
"JC",2017,"Bombus morrisoni",1
"JC",2017,"Bombus nevadensis",2
"JC",2017,"Bombus occidentalis",1
"JC",2017,"Bombus rufocinctus",77
"JC",2018,"Bombus bifarius",11
"JC",2018,"Bombus centralis",13
"JC",2018,"Bombus flavifrons",3
"JC",2018,"Bombus huntii",4
"JC",2018,"Bombus nevadensis",1
"JC",2018,"Bombus rufocinctus",3
"JC",2021,"Bombus bifarius",97
"JC",2021,"Bombus centralis",46
"JC",2021,"Bombus flavifrons",7
"JC",2021,"Bombus huntii",2
"JC",2021,"Bombus mixtus",6
"JC",2021,"Bombus nevadensis",4
"JC",2021,"Bombus rufocinctus",37
"JC",2021,"Bombus sonorus",3
"MM",2012,"Bombus centralis",1
"MM",2012,"Bombus flavifrons",34
"MM",2012,"Bombus huntii",104
"MM",2012,"Bombus morrisoni",6
"MM",2012,"Bombus rufocinctus",1
"MM",2017,"Bombus bifarius",2
"MM",2017,"Bombus centralis",21
"MM",2017,"Bombus fervidus",1
"MM",2017,"Bombus huntii",247
"MM",2017,"Bombus rufocinctus",6
"MM",2018,"Bombus centralis",3
"MM",2018,"Bombus huntii",3
"MM",2018,"Bombus morrisoni",1
"MM",2021,"Bombus centralis",15
"MM",2022,"Bombus centralis",75
"MM",2022,"Bombus huntii",5
"PL",2012,"Bombus centralis",55
"PL",2017,"Bombus centralis",1
"PL",2017,"Bombus huntii",1
"PL",2018,"Bombus centralis",5
"PL",2018,"Bombus flavifrons",5
"PL",2018,"Bombus morrisoni",4
"PL",2021,"Bombus centralis",90
"PL",2021,"Bombus huntii",1
"PL",2022,"Bombus centralis",218
"PL",2022,"Bombus huntii",2
"RP",2021,"Bombus centralis",1
"RP",2022,"Bombus sonorus",4
"SC",2012,"Bombus centralis",1
"SC",2012,"Bombus fervidus",8
"SC",2012,"Bombus flavifrons",18
"SC",2012,"Bombus huntii",70
"SC",2012,"Bombus morrisoni",1
"SC",2012,"Bombus nevadensis",14
"SC",2017,"Bombus centralis",18
"SC",2017,"Bombus flavifrons",1
"SC",2017,"Bombus huntii",109
"SC",2017,"Bombus nevadensis",38
"SC",2018,"Bombus centralis",7
"SC",2018,"Bombus flavifrons",1
"SC",2018,"Bombus huntii",50
"SC",2018,"Bombus sonorus",1
"SC",2021,"Bombus centralis",258
"SC",2021,"Bombus huntii",146
"SC",2021,"Bombus morrisoni",1
"SC",2021,"Bombus nevadensis",34
"SC",2022,"Bombus centralis",131
"SC",2022,"Bombus fervidus",1
"SC",2022,"Bombus huntii",35
"SC",2022,"Bombus morrisoni",1
"SC",2022,"Bombus nevadensis",20
"SM",2017,"Bombus centralis",5
"SM",2017,"Bombus fervidus",1
"SM",2018,"Bombus centralis",7
"SM",2018,"Bombus flavifrons",3
"SM",2021,"Bombus centralis",50
"SM",2021,"Bombus huntii",4
"SM",2022,"Bombus centralis",163
"SM",2022,"Bombus huntii",77
"SS",2017,"Bombus huntii",8
"UK",2017,"Bombus huntii",39
"VC",2017,"Bombus bifarius",4
"VC",2017,"Bombus huntii",3
