"Site","SampleRound","Date","Dos","StartTime","EndTime","TempStart","TempEnd","WindStart","WindEnd","SkyStart","SkyEnd"
"JC",1,"7/11/12",1,"9:54","14:30",70.8,76.9,1.1,0,"clear","bright overcast"
"JC",2,"7/12/12",2,"9:54","14:30",70.8,76.9,1.1,0,"clear","bright overcast"
"JC",3,"7/14/12",4,"8:55","13:00",64.2,73.9,1.6,2.1,"clear","bright overcast"
"JC",4,"7/15/12",5,"8:50","13:50",61.6,71.1,1.8,3,"clear","partly cloudy"
"JC",5,"7/16/12",6,"9:40","13:55",66.2,78,3,5,"clear","clear"
"JC",6,"7/17/12",7,"9:30","14:30",65.5,77.5,1.6,2.1,"clear","bright overcast"
"SC",1,"7/20/12",10,"9:30","14:30",68.3,76.9,0.7,4.9,"clear","clear"
"SC",2,"7/21/12",11,"9:33","14:00",74.6,66.3,2.7,0,"clear","raining"
"SC",3,"7/23/12",13,"9:02","12:30",72.9,61.6,0.7,2.8,"clear","bright overcast"
"SC",4,"7/26/12",16,"9:45","13:00",71.7,69.8,1.9,1.8,"clear","bright overcast"
"SC",5,"7/27/12",17,"9:38","14:00",70.3,76.6,1.9,0.8,"clear","partly Cloudy"
"SC",6,"7/28/12",18,"9:45","13:55",69,72.4,2.5,0.9,"clear","bright overcast"
"SC",7,"7/29/12",19,"10:35","12:10",64.7,71.6,4.2,3.2,"partly cloudy","bright overcast"
"MM",1,"7/31/12",21,"10:45","15:30",69,72,2.4,2.5,"partly cloudy","bright overcast"
"MM",2,"8/1/12",22,"8:50","13:30",66.2,67,2,3,"clear","clear"
"MM",3,"8/2/12",23,"8:26","13:00",63.5,76.5,1.5,0.8,"clear","clear"
"MM",4,"8/3/12",24,"8:26","12:00",65.3,69.3,0,3.5,"clear","bright overcast"
"MM",5,"8/4/12",25,"8:33","13:30",62.4,73,2,3.5,"clear","bright overcast"
"PL",1,"8/9/12",30,"9:53","15:00",74.1,78.4,1.9,2.6,"clear","clear"
"PL",2,"8/10/12",31,"8:35","13:10",66.5,76,3.3,5.6,"clear","clear"
"PL",3,"8/11/12",32,"8:47","13:00",69.8,75.2,1.1,3.7,"clear","clear"
"PL",4,"8/12/12",33,"8:33","12:50",67.9,85,0,4,"clear","clear"
"PL",5,"8/13/12",34,"9:15","14:00",72.8,75,0.7,1.2,"clear","clear"
"CH",1,"8/18/12",39,"9:24","10:00",71.7,65,1.4,1.2,"partly cloudy","partly cloudy"
"CH",2,"8/19/12",40,"8:32","9:00",68.3,65,1.2,1.2,"clear","partly cloudy"
"CH",3,"8/20/12",41,"8:40","13:40",66,78,1,0.6,"clear","clear"
"CH",4,"8/21/12",42,"8:30","12:50",71.7,82.8,2.9,0,"clear","bright overcast"
"CH",5,"8/22/12",43,"8:15","9:52",72.1,70.5,0,0.8,"clear","bright overcast"
