"PlantPK","PlantFamily","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies"
1,"Asteraceae","Achillea","millefolium","",""
2,"Lamiaceae","Agastache","pallidiflora","ssp.","neomexicana"
3,"Lamiaceae","Agastaene","pallidiflora","ssp.","pallidiflora"
4,"Asteraceae","Agoseris","aurantica","",""
5,"Asteraceae","Agoseris","glauca","",""
6,"Amaryllidaceae","Allium","cernuum","",""
7,"Amaryllidaceae","Allium","geyer","",""
8,"Primulaceae","Androsace","chamaejasme","",""
9,"Caryophyllacea","Arenaria","lanuginosa","",""
10,"Campanulaceae","Campanula","rotundifolia","",""
11,"Scrophulariaceae","Castilleja","austromontana","",""
12,"Orobanchaceae","Castilleja","miniata","",""
13,"Caryophyllacea","Cerastium","nutans","",""
14,"Asteraceae","Cirsium","arizonicum","var.","arizonicum"
15,"Asteraceae","Cirsium","neomexicanum","",""
16,"Asteraceae","Cirsium","parryi","",""
17,"Commelinaceae","Commelina","dianthifolia","",""
18,"Fumariaceae","Corydalis","aurea","",""
19,"Asteraceae","Cosmos","parviflorus","",""
20,"Apiaceae","Cymopterus","lemmonii","",""
21,"Primulaceae","Dodecatheon","pulchellum","",""
22,"Asparagaceae","Echeandia","flavescens","",""
23,"Caryophyllacea","Eremogone","fendleri","",""
24,"Asteraceae","Erigeron","flagellaris","",""
25,"Asteraceae","Erigeron","formosissimus","",""
26,"Asteraceae","Erigeron","subtrinervis","",""
27,"Geraniaceae","Erodium","cicutarium","",""
28,"Bassicaceae","Erysimum","capitatum","",""
29,"Onagraceae","Gaura","coccinea","",""
30,"Gentianaceae","Gentiana","affinis","",""
31,"Gentianaceae","Gentianopsis","detonsa","",""
32,"Geraniaceae","Geranium","caespitosum","",""
33,"Geraniaceae","Geranium","viscosissimum","",""
34,"Verbenacae","Glandularia","bipinnatifida","",""
35,"Asteraceae","Heliomeris","multiflora","var.","nevadensis"
36,"Apiaceae","Heracleum","sphondylium","",""
37,"Asteraceae","Heterotheca","pumila","",""
38,"Phrymaceae","Mimulus","tilingii","",""
39,"Rosaceae","Holodiscus","dumosus","",""
40,"Asteraceae","Hymenopappus","newberryi","",""
41,"Asteraceae","Hymenoxys","hoopesii","",""
42,"Asteraceae","Hymenoxys","richardsonii","",""
43,"Hypericaceae","Hypericum","scouleri","",""
44,"Convolvulaceae","Ipomoea","plummerae","",""
45,"Polemoniaceae","Ipomopsis","aggregata","",""
46,"Lamiaceae","Lamiaceae","sp.","",""
47,"Bassicaceae","Lepidium","virginicum","",""
48,"Linaceae","Linum","lewisii","",""
49,"Linaceae","Linum","neomexicanum","",""
50,"Boraginaceae","Mertensia","ciliata","",""
51,"Phrymaceae","Mimulus","guttans","",""
52,"Nyctaginacea","Mirabilis","oblongifolia","",""
53,"Lamiaceae","Monarda","citriodora","spp.","austromontana"
54,"Lamiaceae","Monardella","odoratissima","",""
55,"Onagraceae","Oenothera","elata","",""
56,"Apiaceae","Oxypolis","fendleri","",""
57,"Fabaceae","Oxytropis","lambertii","",""
58,"Bassicaceae","Pennellia","longifolia","",""
59,"Plantaginaceae","Penstemon","barbatus","",""
60,"Plantaginaceae","Penstemon","pinifolius","",""
61,"Plantaginaceae","Penstemon","pseudoparvus","",""
62,"Plantaginaceae","Penstemon","strictus","",""
63,"Hydrophyllaceae","Phacelia","heterophylla","",""
64,"Polygonaceae","Polygonum","bistortoides","",""
65,"Rosaceae","Potentilla","fruticosa","",""
66,"Rosaceae","Potentilla","hippiana","",""
67,"Lamiaceae","Prunella","vulgaris","",""
68,"Apiaceae","Psacalium","decompositum","",""
69,"Asteraceae","Rudbeckia","hirta","",""
70,"Asteraceae","Senecio","bigelovii","",""
71,"Asteraceae","Senecio","eremophilus","",""
72,"Iridacae","Sisyrinchium","longipes","",""
73,"Asteraceae","Solidago","multiradiata","",""
74,"Orchidaceae","Spiranthes","romanzoffiana","",""
75,"Asteraceae","Tetraneuris","acaulis","",""
76,"Asteraceae","Townsendia","grandiflora","",""
77,"Fabaceae","Trifolium","pinetorum","",""
78,"Fabaceae","Trifolium","pratense","",""
79,"Liliaceae","Veratrum","californicum","",""
80,"Scrophulariaceae","Verbascum","thapsus","",""
81,"Fabaceae","Vicia","americana","",""
82,"Fabaceae","Vicia","pulchella","",""
83,"Asteraceae","Viguiera","multiflora","",""
